filename,distance,speed,ship_type,distance_category,speed_category,activity,embedding,predicted,true,predicted_numbers,true_numbers,timestamp
/srv/embeddings_clap/Grafton_28434_test/G_28434_2022-09-13_18-40-13_265-233127_Cargo_underway-using-engine_14-0_1674.wav,1674.0,14.0,Cargo,1-2 km,14+,underway-using-engine,/srv/CLAP/files/Test/G_28434_2022-09-13_18-40-13_265-233127_Cargo_underway-using-engine_14-0_1674.pt,ship at distance 3-4 km with speed speed_category is activity,ship at distance 1-2 km with speed speed_category is activity,3,1,2022-09-13-18-40-13
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-04-24_07-25-16_284-194373_Tanker_underway-using-engine_13-6_4217.wav,4217.0,13.6,Tanker,4-5 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-04-24_07-25-16_284-194373_Tanker_underway-using-engine_13-6_4217.pt,ship at distance 3-4 km with speed speed_category is activity,ship at distance 4-5 km with speed speed_category is activity,3,4,2022-04-24-07-25-16
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-01-22_03-35-07_378-744325_Pilot_underway-using-engine_1-4_6166.wav,6166.0,1.4,Pilot,6-7 km,0-8,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-01-22_03-35-07_378-744325_Pilot_underway-using-engine_1-4_6166.pt,ship at distance 4-5 km with speed speed_category is activity,ship at distance 6-7 km with speed speed_category is activity,4,6,2022-01-22-03-35-07
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-02-07_02-03-05_567-51781_Tanker_underway-using-engine_2-4_3514.wav,3514.0,2.4,Tanker,3-4 km,0-8,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-02-07_02-03-05_567-51781_Tanker_underway-using-engine_2-4_3514.pt,ship at distance 4-5 km with speed speed_category is activity,ship at distance 3-4 km with speed speed_category is activity,4,3,2022-02-07-02-03-05
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-04-24_14-14-20_166-323954_Cargo_underway-using-engine_7-5_6272.wav,6272.0,7.5,Cargo,6-7 km,0-8,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-04-24_14-14-20_166-323954_Cargo_underway-using-engine_7-5_6272.pt,ship at distance 4-5 km with speed speed_category is activity,ship at distance 6-7 km with speed speed_category is activity,4,6,2022-04-24-14-14-20
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-05-20_09-38-11_301-855283_Cargo_underway-using-engine_18-0_15002.wav,15002.0,18.0,Cargo,10+ km,14+,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-05-20_09-38-11_301-855283_Cargo_underway-using-engine_18-0_15002.pt,ship at distance 3-4 km with speed speed_category is activity,ship at distance 10+ km with speed speed_category is activity,3,10,2022-05-20-09-38-11
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-05-10_14-24-32_208-048928_Fishing_engaged-in-fishing_0-9_2533.wav,2533.0,0.9,Fishing,2-3 km,0-8,engaged-in-fishing,/srv/CLAP/files/Test/G_15811_2022-05-10_14-24-32_208-048928_Fishing_engaged-in-fishing_0-9_2533.pt,ship at distance 3-4 km with speed speed_category is activity,ship at distance 2-3 km with speed speed_category is activity,3,2,2022-05-10-14-24-32
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-02-07_17-13-17_95-002062_Cargo_underway-using-engine_7-2_3798.wav,3798.0,7.2,Cargo,3-4 km,0-8,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-02-07_17-13-17_95-002062_Cargo_underway-using-engine_7-2_3798.pt,ship at distance 4-5 km with speed speed_category is activity,ship at distance 3-4 km with speed speed_category is activity,4,3,2022-02-07-17-13-17
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-05-04_19-46-41_138-564187_Tanker_underway-using-engine_15-7_4244.wav,4244.0,15.7,Tanker,4-5 km,14+,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-05-04_19-46-41_138-564187_Tanker_underway-using-engine_15-7_4244.pt,ship at distance 3-4 km with speed speed_category is activity,ship at distance 4-5 km with speed speed_category is activity,3,4,2022-05-04-19-46-41
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-01-22_19-05-46_3-598195_Cargo_underway-using-engine_11-6_4804.wav,4804.0,11.6,Cargo,4-5 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-01-22_19-05-46_3-598195_Cargo_underway-using-engine_11-6_4804.pt,ship at distance 3-4 km with speed speed_category is activity,ship at distance 4-5 km with speed speed_category is activity,3,4,2022-01-22-19-05-46
